abcnews.306755	prwmt	Warren plans to take a 'hard look' at running for president	Уоррен планирует "пристально следить" за президентской гонкой
review_home+kitchen_29_2	pr7	This book was a dissapointment not very helpful or useful really.	В этой книге, конечно, много фотографий, но в ней мало информации, и, честно говоря, за такую цену я бы лучше купила журнал о свадебных тортах.
review_home+kitchen_41_2	pr7	A few good tips, but that's about it	Эта книга разочаровала действительно не особо полезная.
review_home+kitchen_41_2	pr7	If you actually want to make and decorate a cake, this book isn't much use.	Несколько хороших советов, но на этом все
review_home+kitchen_41_2	pr7	The book is mainly composed of images of wedding cakes, most of which weren't remotely close to something I would consider.	Если вы, собственно, хотите приготовить и украсить торт, от этой книги мало толку.
review_home+kitchen_41_2	pr7	Even if they had been something I liked, only a handful of them included instructions, which means I wouldn't have been able to make most of them anyway.	Книга состоит в основном из фотографий свадебных тортов, большинство из которых далеки от того, что я представляла.
review_home+kitchen_41_2	pr7	The book did have a few good tips and a few cake and icing recipes.	Даже если бы они мне понравились, только к некоторым было описание, а значит, у меня все равно не получилось бы приготовить большинство из них.
review_home+kitchen_6_5	pr7	One in a million	В книге все-таки было несколько хороших советов и несколько рецептов тортов и глазури.
review_home+kitchen_6_5	pr7	I've been on the search for the perfect wedding cake recipe for over ten years.	Одна на миллион
review_home+kitchen_6_5	pr7	You can call it an obsession as I personally love the way wedding cake tastes and I'm not even married!	Я искала идеальный рецепт свадебного торта более 10 лет.
review_home+kitchen_6_5	pr7	I bought this book as soon as it was published and the recipes are incredible - as well as the photos.	Можно сказать, что это мания, так как мне нравится вкус свадебного торта, но я даже не замужем!
review_home+kitchen_6_5	pr7	For anyone who bakes wedding cakes this is one recipe book worth the investment.	Я купила эту книгу, как только она появилась в продаже, и рецепты оказались потрясающими, как и фото.
review_home+kitchen_96_2	pr7	Okay but you can figure it out yourself without the book	Для тех, кто делает свадебные торты, эта книга рецептов - стоящая инвестиция.
review_home+kitchen_96_2	pr7	I bought this when I bought the pop maker.	Неплохая, но можно разобраться и без книги
review_home+kitchen_96_2	pr7	I think the recipes are fine, but there really isn't much in the book I wouldn't have figured out myself.A couple of good creamy recipes that are now available for free on recipe websites.	Я купила ее, когда купила мороженицу.
review_home+kitchen_96_2	pr7	As for "pop embellishing" well, that wasn't too hard to figure out, either.	На мой взгляд, рецепты хорошие, но по факту в книге нет ничего такого, в чем бы я не смогла разобраться сама.Пара хороших рецептов со сливками, которые сейчас доступны бесплатно на сайтах рецептов.
review_home+kitchen_96_2	pr7	I'd save the money and spend it instead on extra pop sticks, which seem to disappear the way socks do....	Что касается "украшения мороженого", то и с этим несложно справиться самостоятельно.
review_movies+TV_11_5	pr7	Outstanding Concept, and Performances	Лучше бы я сэкономила деньги и потратила их вместо этого на палочки для мороженого, которые, кажется, исчезают, как носки....
review_movies+TV_11_5	pr7	The small historic Canadian town of Elora, with its many century-old buildings, is the perfect setting for this story, set in the early 1900's.	Выдающаяся Концепция и Зрелищность
review_movies+TV_11_5	pr7	Bringing the story to 20th century America allows the story to incorporate situations Americans can more easily with.	Небольшой исторический канадский городок Элора с его многочисленными вековыми зданиями - идеальное место для этой истории, действие которой происходит в начале 1900-х годов.
review_movies+TV_11_5	pr7	Henry Winkler does a great job of recreating the Scrooge character, and the supporting cast are no less admirable.	Перенос истории в Америку 20-го века позволяет обыгрывать ситуации, более привычные для американцев.
review_movies+TV_11_5	pr7	This is an annual &#34;must watch&#34; story for me.	Генри Уинклер великолепно воссоздает персонажа Скруджа, и актеры второго плана не менее восхитительны.
review_movies+TV_187_1	pr7	Nakedness not necessary!	Для меня это история, которую нужно смотреть каждый год.
review_movies+TV_187_1	pr7	The acting was good, the story was correct, but naked backsides was not necessary.	Обнаженные сцены не нужны!
review_movies+TV_187_1	pr7	Also the Potiphers wife did not need to be so very seductive of a naked Joseph.	Актерская игра хороша, история правдива, но голые задницы лишние в этом фильме.
review_movies+TV_187_1	pr7	Not a Christian movie.	Кроме того, жене Потифара не нужно было так сильно соблазнять обнаженного Иосифа.
review_movies+TV_187_1	pr7	I felt that even though it was probably portrayed truthfully, Christans do not need to see so explicit a scene.	Не христианский фильм.
review_movies+TV_187_1	pr7	This should be rated PG 13 at least.	Чувствовалось, что, вероятно, это было изображено правдиво, но христианам не следует показывать такую откровенную сцену.
review_movies+TV_1_4	pr7	good version of a classic	Фильму нужно присвоить по меньшей мере рейтинг PG-13 (просмотр не желателен детям до 13 лет).
review_movies+TV_1_4	pr7	This is a charming version of the classic Dicken's tale.	хорошая версия классики
review_movies+TV_1_4	pr7	Henry Winkler makes a good showing as the "Scrooge" character.	Это очаровательная версия классической сказки Диккенса.
review_movies+TV_1_4	pr7	Even though you know what will happen this version has enough of a change to make it better that average.	Генри Уинклер хорошо играет персонажа "Скруджа".
review_movies+TV_1_4	pr7	If you love A Christmas Carol in any version, then you will love this.	Даже если вы знаете сюжет, в этой версии много изменений, что делает ее лучше среднего.
review_movies+TV_20_5	pr7	One of my favorite Christmas movies!	Если вам нравятся разные версии Рождественской песни, то вам это понравится.
review_movies+TV_20_5	pr7	Ignore some of the more negative reviews on here.	Один из моих любимых рождественских фильмов!
review_movies+TV_20_5	pr7	This made for TV movie really touches me every time I watch it; which is every Christmas.The acting is splendid and the story is well written.	Не обращайте внимания на негативные отзывы здесь.
review_movies+TV_20_5	pr7	It is suitable for the entire family and it gives a good picture of the depression era of our country.	Этот фильм, снятый для телевидения, действительно задевает за живое каждый раз, когда я его смотрю, а это происходит каждое Рождество.Актерская игра великолепна, и история хорошо написана.
review_movies+TV_22_5	pr14	The best "Christmas Carol" story	Фильм подходит для просмотра всей семьей и дает хорошее представление об эпохе депрессии в нашей стране.
review_movies+TV_22_5	pr14	It seems like just about everybody has made a Christmas Carol movie.	«Рождественская песнь», лучшая история.
review_movies+TV_22_5	pr14	This one is the best by far!	Кажется, почти все уже сняли фильм про рождественскую песнь.
review_movies+TV_22_5	pr14	It seems more realistic than all the others and the time period seems to be perfect.	Этот, безусловно, лучший!
review_movies+TV_22_5	pr14	The acting is also far better than any of the others I've seen; my opinion.	Он кажется более реалистичным, чем все остальные, и временной период выбран практически идеально.
review_movies+TV_249_1	pr14	Worst Christmas special ever!	Актерская игра также намного лучше, чем у тех, которых я видел до сих пор; это моё мнение.
review_movies+TV_249_1	pr14	This is so lame!	Самое худшее рождественское представление!
review_movies+TV_249_1	pr14	The songs are terrible!	Это так тупо!
review_movies+TV_249_1	pr14	The villan is a ripoff of Mr. Burns from The Simpsons while the kids look like they're on loan from a Charlie Brown show.	Песни ужасные!
review_movies+TV_249_1	pr14	But the biggest lowpoint is the Politically Correct ranting!	Виллан содран с мистера Бернса из «Симпсонов», а дети выглядят так, как будто позаимствованы из шоу Чарли Брауна.
review_movies+TV_249_1	pr14	Too bad CBS insists on running this back-to-back with the 1969 classic.	Но самый большой недостаток – это политкорректные разглагольствования!
review_movies+TV_24_5	pr14	A Worthy Version of A Christmas Carol	Хуже всего то, что CBS настаивает на том, чтобы показывать это сразу после классики 1969 года.
review_movies+TV_24_5	pr14	This is Charles Dickens' classic Christmas Carol with an American twist.	Достойная версия «Рождественской песни».
review_movies+TV_24_5	pr14	This version does a nice job of capturing the consequences of history and one's personal role in it.	Это классическая рождественская история в духе Чарльза Диккенса, только в американском стиле.
review_movies+TV_24_5	pr14	It provides a sobering view of the main character's choices, just as the original, &#34;A Christmas Carol,&#34; did but this version also shows how one man's choices affect those around him.	Эта версия прекрасно отражает исторические последствия и роль личности в истории.
review_movies+TV_24_5	pr14	I recommend this film to anyone who collects different versions of, &#34;A Christmas Carol.&#34;	Это отрезвляющий взгляд на жизненный выбор главного героя, как и в оригинале «Рождественская песнь»; да, но эта версия также показывает, как выбор одного человека влияет на жизнь окружающих.
review_movies+TV_252_1	pr14	1960's Classic Comes To This?	Я рекомендую посмотреть этот фильм всем, кто коллекционирует разные версии «Рождественской песни».
review_movies+TV_252_1	pr14	Narration is OK but the story is weak and the songs are brilliantly unremarkable.	Вот до этого дошла классика 1960-х годов?
review_movies+TV_252_1	pr14	I cringed when I watched this with my son.	Повествование хорошее, но сюжет слабенький, а песни блестящи в своей непримечательности.
review_movies+TV_252_1	pr14	I admit I grew up with the original show with Jimmy Durante narrating and the title song a well written classic, rather than a lame paean to 1990's PC themes.	Я поеживался, когда смотрел это вместе с сыном.
review_movies+TV_252_1	pr14	This is probably inevitable in that you unfortunately can't re-make something from that era with the same innocence and feel: not in an era where Christmas has become lifeless.	Я признаю, я вырос на оригинальном шоу с повествованием Джимми Дюранте и классической заглавной песней, а не с этой убогой хвалебной одой темам рабочего стола для ПК 1990-х.
review_movies+TV_252_1	pr14	Oops!	Наверно, это неизбежно, потому что, к сожалению, невозможно воссоздать невинность и чувство той эпохи: точно не сейчас, когда Рождество стало безжизненным.
review_movies+TV_252_1	pr14	I said Christmas, I meant Happy Holidays!	Упс!
review_movies+TV_25_5	pr14	It's about time...	Я сказал «Рождество», я хотел сказать «счастливых праздников»!
review_movies+TV_25_5	pr14	I can't believe how long it took &#34;them&#34; to get this wonderful Christmas show on DVD.	Давно пора…
review_movies+TV_25_5	pr14	It's a modern (1930s America) twist on Charles Dickens' classic tale.	Не могу поверить, сколько времени «им» понадобилось, чтобы выпустить это чудесное рождественское шоу на DVD.
review_movies+TV_25_5	pr14	Winkler makes me hate his character as much as Alister Sim did in his portrayal of Scrooge in the 1951 production.	Это современная версия (Америка 1930-х годов) классического произведения Чарльза Диккенса.
review_movies+TV_25_5	pr14	Certainly one for your visual library.	Винклер заставляет меня ненавидеть его персонаж так же сильно, как Алистера Сима в роли Скруджа в постановке 1951 года.
review_movies+TV_26_5	pr14	Fonzie as Scrooge	Конечно, рекомендую для пополнения вашей коллекции дисков.
review_movies+TV_26_5	pr14	Henry Winkler is a fine actor and this version of the famous story is proof positive.	Фонзи в роли Скруджа
review_movies+TV_26_5	pr14	He does and excellent job as Ebeneezer Scrooge.	Генри Винклер – хороший актер, и эта версия знаменитой истории вполне убедительна.
review_movies+TV_26_5	pr14	The story, of course, is the same as the other versions, but each remake brings a different interpretation by the actors and writers.	Он отлично справляется с ролью Эбенизера Скруджа.
review_movies+TV_26_5	pr14	This one is fun and easy to watch.	Сюжет, конечно, такой же, как и в других версиях, но каждый римейк – это новая интерпретация, созданная актерами и сценаристами.
review_movies+TV_26_5	pr14	A fine family film.	Эту версию смотреть весело и легко.
review_movies+TV_274_2	pr14	NOT REMASTERED!  How can they even claim this?	Прекрасный фильм для семейного просмотра.
review_movies+TV_274_2	pr14	Wonderful ,program, heartwarming story, and the sh?^[EST PRESENTATION YET..	НЕ ПЕРЕДЕЛАЛИ! Как они вообще могут утверждать такое?
review_movies+TV_274_2	pr14	This dvd is not restored...one...sengle.bit.	Замечательно, программа, да, трогательная история, и такое дерьмо? ЕЩЕ И ПРЕЗЕНТАЦИЯ …
review_movies+TV_274_2	pr14	It is the same dark, muddled, dirty, bespeckled and trimmed copy we've seen on tv , video, and dvd, for what?	Этот DVD не вдохновляет … ни …  один … бит.
review_movies+TV_274_2	pr14	forty years?	Это та же самая темная, запутанная, грязная, разнородная и обрезанная версия, которую мы видели по телевизору, и для чего тогда видео, DVD?
review_movies+TV_274_2	pr14	I was taken in, amazed and ecstatic that my favorite holiday special would now look as wonderful as it deserved to.	Сорок лет?
review_movies+TV_274_2	pr14	I'm tempted to take it back, but at least it's on a stand-alone dvd, instead of added as an afterthought to some Rankin-Bass collection of more &#34;famous&#34; specials.	Меня захватила, поразила и восхитила мысль, что мое любимое праздничное телешоу теперь будет таким чудесным, каким и должно быть.
review_movies+TV_304_1	pr14	Disturbing	У меня есть соблазн вернуть всё обратно, но, по крайней мере, это отдельный DVD, а не добивка к какой-нибудь коллекции Ранкина-Басса более «знаменитых» телешоу.
review_movies+TV_304_1	pr14	I can honestly say that this is my least favorite holiday movie.	Трогательно
review_movies+TV_304_1	pr14	As a child I remember being very upset by the images of Aaron losing his parents, being kidnapped and almost losing his sheep BaaBaa.	Скажу честно, что этот рождественский фильм - мой самый нелюбимый.
review_movies+TV_304_1	pr14	The best part of this movie is Aaron playing for baby Jesus and regaining his trust in people again otherwise, make sure you have a box of tissues when viewing this movie.	Я помню, как сильно в детстве меня расстраивал образ Аарона, потерявшего родителей, похищенного и почти потерявшего свою овечку БааБаа.
review_movies+TV_439_1	pr14	Still NOT completely remastered	Лучшая часть фильма – это когда Аарон играет для младенца Иисуса и вновь обретает доверие к людям, не смотря ни на что. Перед просмотром фильма убедитесь, что у вас есть упаковка бумажных платочков.
review_movies+TV_439_1	pr14	In the item notes for this DVD it claims it is remastered.	Ну и ничего они НЕ переделали
review_movies+TV_439_1	pr14	Though it is not as poor quality as the 2004 DVD, it still has black dots and white scratches in the picture.	В описании этого DVD утверждается, что он переработан.
review_movies+TV_439_1	pr14	Is CBS the only place you can find the completely remastered version?	Хотя, конечно, он не такого плохого качества, как DVD 2004 года выпуска, но на изображении все еще есть черные и белые точки.
review_movies+TV_439_1	pr14	This is NOT worth $14.99, more like $4.99.	Что, CBS – единственное место, где можно найти полностью обновленную версию?
review_movies+TV_439_1	pr14	Remaster the thing or don't supply it.	Он НЕ стоит 14.99 доллара, скорее 4.99 доллара.
review_movies+TV_439_1	pr14	:(	Переделайте диск или не продавайте его.
review_movies+TV_500_1	pr14	Not the original stories	:(
review_movies+TV_500_1	pr14	I must agree with the other reviewers that this set is awful as it does no show the episodes in the original clifhanger form as shown on TV.	Это не оригинал
review_movies+TV_500_1	pr14	I will be the first in line to buy underdog when it is produced as it was ORIGINALLY shown with all the shorts like tennessee tuxedo and commander mcbragg and with the cliffhangers.	Я согласен с другими отзывами, это ужасный вариант, в нем нет тех увлекательных эпизодов, которые были в оригинальном телешоу.
review_movies+TV_500_1	pr14	Come on guys give us the original show as it should be and this set will fly off the shelves.	Я буду первым в очереди, кто купит эту жертву несправедливости, если это будет вариант с ОРИГИНАЛЬНЫМИ кадрами, со смокингами Теннесси и мультяшным командиром Мак-Брэггом, и с увлекательными поворотами сюжета.
review_movies+TV_500_1	pr14	Until then you can keep this junk.	Давайте, ребята, покажите нам оригинальное шоу, такое, каким оно должно быть, и его сметут с полок.
review_musical-instruments_12_4	pr14	It works great but I hardly use it.	Ну а пока можно оставить этот хлам.
review_musical-instruments_12_4	pr14	I got it to have it if I needed it.	Работает отлично, но я им почти не пользуюсь.
review_musical-instruments_12_4	pr14	I have found that i don't really need it that often and rarely use it.	Я купил его, чтобы был, вдруг понадобится.
review_musical-instruments_12_4	pr14	If I was really good I can see the need.	Я понял, что он мне действительно не так уж часто нужен, я редко им пользуюсь.
review_musical-instruments_12_4	pr14	But this is a keyboard not an organ.	Если бы я был профессионалом, мне он был бы нужен.
review_musical-instruments_17_4	pr14	Durable Instrument Cable	Но это синтезатор, это не орган.
review_musical-instruments_17_4	pr14	This Fender cable is the perfect length for me!	Длинный инструментальный кабель
review_musical-instruments_17_4	pr14	Sometimes I find it a bit too long but I don't mind.	Для меня длина этого кабеля Fender идеальна!
review_musical-instruments_17_4	pr14	The build quality is great and I know that it will last.	Иногда мне кажется, что он слишком длинный, но это не важно.
review_musical-instruments_17_4	pr14	The only gripe I have with this cable is that the metal sleeve gets unscrewed way too easily, requiring me to tighten it often.Sound quality is not affected, and the color is cool, definitely try this cable out.	Качество отличное, и я знаю, что он прослужит долго.
review_musical-instruments_18_5	pr14	fender 18 ft. Cali clear...	Единственная проблема с этим кабелем, заключается в том, что кабельная муфта слишком легко раскручивается, и мне приходится часто ее подтягивать. На качество звука это не влияет, а цвет отличный, обязательно попробуйте этот кабель.
review_musical-instruments_18_5	pr14	wanted it just on looks alone...It is a nice looking cord...	Fender 18 футов Cali Clear …
review_musical-instruments_18_5	pr14	I know it will perform...as for Sam Ash ...this cord was packed in a mailer inside another box with my Roc n Soc... his shipping team do great work..never any complaints from me...	Хочется его с первого взгляда … Очень красивый шнур …
review_musical-instruments_18_5	pr14	I love Sam Ash.. thanks Amazon	Я знаю, он будет работать … что касается Sam Ash … этот шнур был в посылке, упакован в коробку с  моим заказом от Roc-N-Soc … их доставка отлично работает … ни разу никаких жалоб от меня …
review_musical-instruments_1_5	pr14	good	Я люблю Sam Ash ... спасибо Amazon
review_musical-instruments_1_5	pr14	Not much to write about here, but it does exactly what it's supposed to.	работает хорошо. 
review_musical-instruments_1_5	pr14	filters out the pop sounds.	Ну, здесь особенно не о чем писать, но он делает именно то, что должен.
review_musical-instruments_1_5	pr14	now my recordings are much more crisp.	Фильтрует попсовое звучание.
review_musical-instruments_1_5	pr14	it is one of the lowest prices pop filters on amazon so might as well buy it, they honestly work the same despite their pricing,	Теперь мои записи стали более резкими.
review_musical-instruments_24_5	pr14	Quality cable!	На Amazon одни из самых низких цен на поп-фильтры, так что можно было бы купить его, они честно работают, несмотря на цены.
review_musical-instruments_24_5	pr14	Got this cable to run a rockband keyboard controller to my M-audio profire 2626 to control midi in Pro Tools.	Качественный кабель!
review_musical-instruments_24_5	pr14	Works great!	Купил этот кабель для подключения контроллера клавиш для рок-группы к моей звуковой карте M-Audio ProFire 2626, чтобы пользоваться MIDI клавиатурой в системе Pro Tools.
review_musical-instruments_24_5	pr14	Firm fit, solidly molded ends, reputable branded cable.	Работает отлично!
review_musical-instruments_24_5	pr14	(a bit on the thin side, but i haven't seen to have any issue due to this or anything.	Плотная посадка, надежно запрессованные концы, фирменный, хорошо себя зарекомендовавший кабель,
review_musical-instruments_24_5	pr14	Couldn't go wrong for $5 at the time of my purchase and prime eligibility.	(по-моему, немного тонкий, но у меня вроде не было из-за этого никаких проблем).
review_musical-instruments_25_5	pr14	I Got Great Pricing, But Still a Really Good Product	Кажется, я не зря потратил 5 долларов, когда купил его, товар высокого качества.
review_musical-instruments_25_5	pr14	When I was searching for MIDI cables for my ART X-15 foot controller, I came across these Hosa ones, and they were $2 dollars each!	Я заплатил совсем немного за действительно хороший товар
review_musical-instruments_25_5	pr14	As they are now $6, I realize I would still be happy with that price as well, as they are high quality plastic and metal connectors, and work flawlessly.	Когда я искал MIDI кабели для своего футконтроллера ART X-15, я наткнулся на эти кабели Hosa, и они стоили 2 доллара!
review_musical-instruments_25_5	pr14	You must realize that they are only 5 feet, as I overestimated it and now wish they were longer.	Сейчас они стоят 6 долларов, но я и на эту цену согласен, поскольку пластик  высококачественный, и металлические разъемы тоже, и работает всё безупречно.
review_musical-instruments_25_5	pr14	For any connection from racked sound modules, this will be perfect.	Но хочу уточнить, они всего по 5 футов, я переоценил их длину, хотелось бы, чтобы они были подлиннее.
review_musical-instruments_287_2	pr14	It's OK but I wish I'd bought something else.	Для подключения любых звуковых модулей в стойке подойдут идеально.
review_musical-instruments_287_2	pr14	The handle and spring strength make this uncomfortable to place on the guitar, and I feel rushed to clamp on the capo because it's unpleasant to use - hurts the fingers.	Нормально, но надо было купить что-нибудь другое.
review_musical-instruments_287_2	pr14	It's cheap and easy to use.	Ручка и тугая пружина мешают ставить на гитару, и я тороплюсь зажать каподастр, потому что неприятно - пальцам больно.
review_musical-instruments_287_2	pr14	It'll do the job, but I don't like it.	Дешевый и простой в использовании.
review_musical-instruments_3_5	pr14	It Does The Job Well	Работает, но мне не нравится.
review_musical-instruments_3_5	pr14	The primary job of this device is to block the breath that would otherwise produce a popping sound, while allowing your voice to pass through with no noticeable reduction of volume or high frequencies.	Оно хорошо справляется
review_musical-instruments_3_5	pr14	The double cloth filter blocks the pops and lets the voice through with no coloration.	Основная задача этого устройства - блокировать звук дыхания, которое в противном случае приводило бы к чмокающему звуку, а с этим устройством голос звучит ровно, без заметного понижения громкости или высоких частот.
review_musical-instruments_3_5	pr14	The metal clamp mount attaches to the mike stand secure enough to keep it attached.	Двойной тканевый фильтр блокирует посторонние звуки и пропускает голос без какой-либо окраски.
review_musical-instruments_3_5	pr14	The goose neck needs a little coaxing to stay where you put it.	Металлический держатель крепится к стойке микрофона достаточно надежно, чтобы удерживать устройство.
review_musical-instruments_409_1	pr14	It distorts	Гибкую часть держателя нужно немного приладить, чтобы он не смещался.
review_musical-instruments_409_1	pr14	This is a cheap piece of junk that does what it says, it distorts, You want something to make your guitar sound like junk, this will do it.	Есть дисторшн
review_musical-instruments_409_1	pr14	Why pedals that make your guitar sound like a piece of junk are the most popular is beyond me.	Эта дешевая педаль делает то, что нужно, обеспечивает дисторшн. Вы хотите, чтобы ваша гитара звучала как надо? Тогда это то, что вам нужно.
review_musical-instruments_409_1	pr14	This is not a boutique Distortion pedal like Hendrix would use.	Почему педали, из-за которых гитара звучит как кусок дерьма, самые популярные? Это за гранью моего понимания.
review_musical-instruments_409_1	pr14	Boutique and distortion are an oxymoron.These things are built with heavy metal, it should last, I kinda hope it doesn't(just kidding), you want distortion, you got distortion	Эта педаль не из дорогого бутика, вряд ли такой пользовался Джимми Хендрикс.
review_musical-instruments_414_1	pr17	Beginners Beware	Дисторшн из бутика – это оксюморон. Такие вещи появились в музыке хэви-метал, она, по всей видимости, просуществует долго, я как-то надеюсь, что нет (шучу), вам нужен дисторшн, у вас есть дисторшн.
review_musical-instruments_414_1	pr17	Here's the deal with this pedal.	Новички, внимание!
review_musical-instruments_414_1	pr17	It is inexpensive and you can get a better pedal with barely a bit more money and sometimes a little less money.	Расскажу вам про эту педаль.
review_musical-instruments_414_1	pr17	In my opinion, for spending less than $100 for a distortion pedal, whether it is your first pedal or 700th pedal, a few more bucks will get you the MXR Badass distortion which has a much crisper tone to it.	Она не дорогая, можно купить педаль и подороже, и подешевле.
review_musical-instruments_483_2	pr17	Dunlop The Original CryBaby Pedal	По-моему,  если вы платите меньше 100 долларов за педаль  Distortion, будь то ваша первая педаль или 700-я педаль, добвавьте пару долларов и купите педаль  MXR Badass, у которой гораздо более четкий тон.
review_musical-instruments_483_2	pr17	If you want your guitar to sound like Eddie Van Halen, Joe Satriani and other guitarists studio album guitar sound, then get a BOSS GT-10 (guitar multi effects processor) and install BOSS GT-10 Patches by James Limborg.	Педаль Dunlop The Original CryBaby.
review_musical-instruments_483_2	pr17	Search Google for BOSS GT-10 Patches by James Limborg.	Если вы хотите, чтобы ваша гитара звучала как у Эдди Ван Халена, Джо Сатриани и других гитарисов из их студийных альбомов, купите процессор гитарных мультиэффектов BOSS GT-10  и установите патчи BOSS GT-10 от Джеймса Лимборга.
review_musical-instruments_51_2	pr17	Cannot recommend	Патчи BOSS GT-10 от Джеймса Лимборга ищите в Google!
review_musical-instruments_51_2	pr17	I didn't expect this cable to be so thin.	Не советую.
review_musical-instruments_51_2	pr17	It's easily 1/2 the thickness of any guitar cable I've used.	Кабель оказался слишком тонким.
review_musical-instruments_51_2	pr17	Not sure about long-term durability or signal loss/interference.	Он в два раза тоньше, чем те, которыми я пользовался раньше.
review_musical-instruments_51_2	pr17	If I had the foresight I'd spend a couple extra bucks on a thicker cable.	Не знаю, сколько он прослужит, каккой будет звук/помехи.
review_musical-instruments_51_2	pr17	Still, it works and was inexpensive.EDIT: 6 months later and it's dead already.	Лучше бы я купил подороже.
review_musical-instruments_51_2	pr17	Wire frayed at the right angle jack.	Ну, пока работает. ДОП: Проработал полгода и вот, сдох.
review_musical-instruments_51_2	pr17	You get what you pay for.	Перетерся у штекера.
review_musical-instruments_53_1	pr17	I have bought many cables and this one is the only one that gives me problems	За что заплатил, то и получил.
review_musical-instruments_53_1	pr17	It hums, crackles, and I think I'm having problems with my equipment.	Я покупал много кабелей, но  этолько с этим у меня возникли проблемы.
review_musical-instruments_53_1	pr17	As soon as I use any of my other cords then the problem is gone.	Он гудит, трещит, а мне кажется, что проблемы с моим оборудованием.
review_musical-instruments_53_1	pr17	Hosa makes some other products that have good value.	Как только я вставляю любой из других моих шнуров, проблема исчезает.
review_musical-instruments_53_1	pr17	But based on my experience I don't recommend this one.	У Hosa есть другие товары хорошего качества.
review_musical-instruments_547_2	pr17	Too Big.	Но этот я не рекомендую, исходя из своего опыта.
review_musical-instruments_547_2	pr17	Sorry, I don't like these as they're just too big.	Слишком большие!
review_musical-instruments_547_2	pr17	They stand out too much.	Простите, мне они не нравятся, потому что они слишком большие. 
review_musical-instruments_547_2	pr17	They do work and they're effective but they are too pronounced.	Они сильно выпирают.
review_musical-instruments_547_2	pr17	There are many good alternatives; strap gaskets, strap locks, undoing the pin and putting it straight into the guitar strap.	Они действительно держатся и эффективны, но они слишком заметны. 
review_musical-instruments_547_2	pr17	Again, they work, but they're not aesthetic nor elegant.	Есть много других вариантов прокладок для ремня, замков для ремня — просто открути колок и вставь прямо в ремень гитары. 
review_musical-instruments_547_2	pr17	I also got a gold set for my bass and now it looks like I should be wearing big purple platforms when I play.	Повторяю: ими можно пользоваться, но они не эстетичны, не элегантны.
review_musical-instruments_547_2	pr17	Not cool.	У меня есть свой «золотой» набор для моей бас-гитары. Мне что теперь выступать с большими фиолетовыми нашлёпками?
review_patio+lawn+garden_10_4	pr17	Flexible hose as marketed....hope it lives up to the hipe!	Жуть!
review_patio+lawn+garden_10_4	pr17	So far so good!	Гибкий шланг, если он такой, как его рекламируют...надеюсь,  оправдает мои ожидания!
review_patio+lawn+garden_10_4	pr17	I have not really had the time to test out the hose as it is cold weather time right now.	Пока неплохо!
review_patio+lawn+garden_10_4	pr17	I bought this Gilmour hose based on all the recommendations.	Если честно, у меня не было достаточно времени, чтобы проверить этот шланг в холодное время года. 
review_patio+lawn+garden_10_4	pr17	I am looking forward to not having to wrestle the hose to use it.	Я купил этот шланг Gilmour  после всех  комментов. Надеюсь, мне не придётся с ним бороться.
review_patio+lawn+garden_11_4	pr17	have you changed the rubber formula ????	Вы изменили композиты резины ???
review_patio+lawn+garden_11_4	pr17	Hey Gilmore I have been buying your hoses for years and only your hoses.	Gilmore! Я уже несколько лет покупаю ваши шланги, и только ваши.
review_patio+lawn+garden_11_4	pr17	You stand behind your product and provide great customer support..	Вы их производите и отлично обеспечиваете поддержку клиентов. 
review_patio+lawn+garden_11_4	pr17	But I am only giving you 4 stars  because this hose and the 100 footer I bought  a few months back seem to kink more than my older Flexogens not sure why ?	Но я оцениваю вас только на 4 балла, потому что ваш шланг и тяжеленная подставка, которые я купил  несколько месяцев  назад, ломаются больше, чем мои старые от компании Flexogens. Почему бы это?
review_patio+lawn+garden_147_2	pr17	Had to return...	Пришлось вернуть…
review_patio+lawn+garden_147_2	pr17	This pruner does not even remotely cut 1&#34; branches, wet or dry.	Этот секатор никак не режет ни влажные, ни сухие ветки.
review_patio+lawn+garden_147_2	pr17	Does not cut 3/4&#34; branches.	Не срезает мелкие ветки.
review_patio+lawn+garden_147_2	pr17	It may cut SOME 1/2&#34; dry branches but at least the one I received was not sharpened and I was forced to return it.	Он может срезать только кое-какие из сухих побегов. По крайней мете, тот секатор, который мне прислали. Он не был острым, и мне пришлось его вернуть.
review_patio+lawn+garden_147_2	pr17	Have not decided on a new one yet, since I was so disappointed after reading all the great feedbacks and finding different.	Я пока не решил, какой другой секатор купить,  так как очень разочаровался. Ведь я прочитал все отзывы, которые были позитивными, но не подтвердились.
review_patio+lawn+garden_14_5	pr17	Just as hoped	Как я и надеялся.
review_patio+lawn+garden_14_5	pr17	I was worried about getting a short one, but this serves my need just fine, as it accompanied by a longer and more troublesome one.	Я боялся, что получу короткий шланг, но этот мне подошёл в сочетании с более длинным, с которым больше проблем.
review_patio+lawn+garden_14_5	pr17	I leave the sprinkler on it instead of switching heads - so much easier.	Я оставил на нем разбрызгиватель и убрал переключатель —  так намного проще, 
review_patio+lawn+garden_14_5	pr17	slightly stiff to lay out, but if it weren't, I am sure it would kink.	чуть сильнее струя, но если бы я этого не сделал, уверен, что шланг бы перекрутился.
review_patio+lawn+garden_14_5	pr17	I got it with the gilmore brass 2-way hose connector - an excellent pair for me	Мне удалось это сделать с помощью 2-ходового шлангового соединителя Gilmore Brass — классно получилось!
